type,breed,color,sex,size,impound_number,kennel_number,id,intake_date,outcome_date,days_in_shelter,intake_type,intake_subtype,outcome_type,outcome_subtype,intake_condition,outcome_condition,intake_jurisdiction,intake_total,date_of_birth,name,zip_code,:@computed_region_dig5_f3vy,outcome_jurisdiction,ano
Dog,Siberian Husky,Black/White,Male,MED,K23-046984,DA21,A422697,2023-12-04,2024-01-08,35,Stray,FLD_STRAY,Euthanize,AGGRESSIVE,UNKNOWN,UNTREATABLE,COUNTY,1,,,,,,2023
Dog,Pit Bull,Gray,Female,MED,K23-046923,DS60,A422443,2023-11-28,2024-01-08,41,Stray,FLD_STRAY,Euthanize,BEH SEVERE,UNKNOWN,UNTREATABLE,SANTA ROSA,1,,,,,,2023
Dog,Germ Shepherd,Tan/Black,Female,LARGE,K23-046766,DS80,A422038,2023-11-11,2024-01-08,58,Stray,FIELD,Euthanize,AGGRESSIVE,UNKNOWN,UNTREATABLE,COUNTY,1,2021-11-11T00:00:00.000,,,,,2023
Dog,Germ Shepherd,Fawn,Spayed,SMALL,K24-047284,DS68,A423685,2024-01-05,2024-01-08,3,Stray,OVER THE COUNTER,Return To Owner,,UNKNOWN,HEALTHY,SANTA ROSA,1,2021-06-08T00:00:00.000,FAUNA,93927,28286,,2024
Dog,Shih Tzu,White,Female,SMALL,K24-048085,DS90,A425655,2024-04-04,2024-04-05,1,Stray,FLD_STRAY,Return To Owner,OVER THE COUNTER_CALL,UNKNOWN,PENDING,SANTA ROSA,1,2012-04-04T00:00:00.000,WILLOW,95401,26075,SANTA ROSA,2024
Other,Bat,Brown,Unknown,SMALL,K24-048098,TRUCK,A425678,2024-04-05,2024-04-05,0,Quarantine,FIELD,Euthanize,FRA,UNKNOWN,HEALTHY,*PETALUMA,1,,,,,,2024
Dog,Dachshund Lh,Red,Neutered,TOY,K24-047991,DQ107,A299415,2024-03-24,2024-04-05,12,Confiscate,FLD_HOSPTL,Return To Owner,MEDICAL,UNKNOWN,PENDING,SANTA ROSA,1,2012-07-13T00:00:00.000,SASHA,95403,26076,SANTA ROSA,2024
Dog,Dachshund Lh,Brown/Red,Spayed,TOY,K24-047990,DQ107,A299416,2024-03-24,2024-04-05,12,Confiscate,FLD_HOSPTL,Return To Owner,MEDICAL,UNKNOWN,PENDING,SANTA ROSA,1,2012-07-13T00:00:00.000,ROSIE,95403,26076,SANTA ROSA,2024
Dog,Parson Russ Ter/Chihuahua Sh,Cream,Spayed,PUPPY,K23-047083,DA37,A423033,2023-12-12,2024-01-06,25,Owner Surrender,OVER THE COUNTER,Adoption,SCAS WEB,UNKNOWN,HEALTHY,SANTA ROSA,1,2023-09-20T00:00:00.000,*BUFFY,95407,26079,SANTA ROSA,2023
Dog,Siberian Husky,White,Female,MED,K24-047295,DS63,A423708,2024-01-06,2024-01-09,3,Stray,OVER THE COUNTER,Return To Owner,OVER THE COUNTER_WEB,UNKNOWN,PENDING,SANTA ROSA,1,2022-01-06T00:00:00.000,MUNECA,95492,31428,*WINDSOR,2024
Cat,Domestic Sh,Brn Tabby,Neutered,KITTN,K23-047230,CA02,A421310,2023-12-30,2024-01-09,10,Owner Surrender,OVER THE COUNTER,Adoption,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,1,2023-08-17T00:00:00.000,BOOTS,95407,26079,COUNTY,2023
Dog,Schnauzer Min,Black/Gray,Spayed,SMALL,K24-047298,DS93,A324184,2024-01-07,2024-01-09,2,Confiscate,FLD_HOSPTL,Return To Owner,OVER THE COUNTER_NOTICE,UNKNOWN,PENDING,SANTA ROSA,1,2013-02-01T00:00:00.000,SOPHIE,95446,23755,COUNTY,2024
Dog,Pit Bull,Fawn/White,Neutered,MED,K23-045685,DA43,A419574,2023-08-17,2023-12-08,113,Stray,OVER THE COUNTER,Adoption,VOLUNTEER,TREATABLE/MANAGEABLE,HEALTHY,COUNTY,1,2018-08-17T00:00:00.000,*CHIP,95401,26075,SANTA ROSA,2023
Dog,Doberman Pinsch,Black/Tan,Female,LARGE,K24-047758,DS60,A424987,2024-03-06,2024-03-19,13,Confiscate,FLD_ARREST,Return To Owner,OVER THE COUNTER_ARREST,UNKNOWN,PENDING,SANTA ROSA,1,2019-12-21T00:00:00.000,MANDY,95401,26075,COUNTY,2024
Cat,Domestic Sh,Brn Tabby,Male,KITTN,K24-048105,TRUCK,A425690,2024-04-06,2024-04-06,0,Stray,FLD_STRAY,Transfer,PETLUMA PP,UNKNOWN,HEALTHY,SANTA ROSA,1,2024-04-04T00:00:00.000,,94952,11138,*PETALUMA,2024
Cat,Domestic Sh,Brn Tabby,Spayed,SMALL,K23-047160,CA02,A423448,2023-12-19,2024-01-09,21,Stray,OVER THE COUNTER,Adoption,FINDER,HEALTHY,HEALTHY,COUNTY,1,2023-07-19T00:00:00.000,*TERRI,95407,26079,COUNTY,2023
Dog,Siberian Husky,White,Male,MED,K24-047296,DS81,A423709,2024-01-06,2024-01-09,3,Stray,OVER THE COUNTER,Return To Owner,OVER THE COUNTER_WEB,UNKNOWN,PENDING,SANTA ROSA,1,,BUDDY,95492,31428,*WINDSOR,2024
Dog,Siberian Husky,Black/White,Male,MED,K24-047302,DA34,A423717,2024-01-08,2024-01-09,1,Stray,FLD_STRAY,Return To Owner,OVER THE COUNTER_WEB,UNKNOWN,PENDING,UNKNOWN,1,2015-01-09T00:00:00.000,COCO,95401,26075,SANTA ROSA,2024
Dog,Schnauzer Min/Welsh Terrier,Black/Gray,Spayed,SMALL,K24-047291,DS52,A423699,2024-01-06,2024-01-09,3,Stray,FLD_STRAY,Return To Owner,OVER THE COUNTER_MCHIP,UNKNOWN,PENDING,COUNTY,1,2015-06-16T00:00:00.000,ESPERANZA,94612,1489,OUT OF COUNTY,2024
Other,Rabbit Sh,Black/Brown,Female,SMALL,K24-047538,CS06,A424284,2024-02-07,2024-04-06,59,Stray,FLD_STRAY,Transfer,RP SHELTER,UNKNOWN,HEALTHY,SANTA ROSA,1,2022-03-23T00:00:00.000,*SWEETIE,94928,1829,*ROHNERT PARK,2024
Dog,Germ Shepherd/Mix,White/Black,Spayed,MED,K23-046764,DA05,A422004,2023-11-09,2024-01-09,61,Stray,FLD_STRAY,Adoption,SCAS WEB,HEALTHY,HEALTHY,COUNTY,1,2022-12-14T00:00:00.000,LILA,95472,31039,COUNTY,2023
Cat,Domestic Sh,Black,Male,SMALL,K23-046821,HSSC,A422186,2023-11-16,2023-12-20,34,Stray,EMAIL,Transfer,HSSC,UNKNOWN,HEALTHY,COUNTY,1,,,,,,2023
Dog,Aust Cattle Dog,Gray/Brown,Neutered,MED,K22-041082,DQ110,A410926,2022-04-11,2022-08-09,120,Quarantine,FIELD,Return To Owner,OVER THE COUNTER_PRVS,UNKNOWN,PENDING,SANTA ROSA,1,2021-10-11T00:00:00.000,*GATSBY,95409,26080,COUNTY,2022
Dog,Siberian Husky,White,Male,LARGE,K24-048016,DQ113,A419923,2024-03-27,2024-04-06,10,Quarantine,FIELD,Return To Owner,OVER THE COUNTER_NOTICE,UNKNOWN,PENDING,SANTA ROSA,1,2021-03-25T00:00:00.000,KAI,95403,26076,SANTA ROSA,2024
Cat,Domestic Sh,Gray Tabby,Spayed,SMALL,K23-045613,COOLER,A419441,2023-08-03,2023-08-08,5,Quarantine,COMM CAT,Disposal,FRA,UNTREATABLE,DEAD,COUNTY,1,2020-08-03T00:00:00.000,,,,,2023
Dog,Chihuahua Sh,Brown/Black,Female,SMALL,K24-047299,DA26,A423714,2024-01-08,2024-01-09,1,Stray,FLD_STRAY,Return To Owner,OVER THE COUNTER_WEB,UNKNOWN,PENDING,SANTA ROSA,1,,TINKERBELL,95401,26075,SANTA ROSA,2024
Dog,French Bulldog,Blue Merle/White,Male,SMALL,K23-046343,DS73,A420760,2023-10-06,2023-10-06,0,Stray,OVER THE COUNTER,Return To Owner,OVER THE COUNTER_PRVS,UNKNOWN,PENDING,COUNTY,1,2019-03-29T00:00:00.000,COLE,95472,31039,COUNTY,2023
Dog,Patterdale Terr/Bull Terr Min,Black/Tan,Neutered,MED,K21-038643,DS84,A405084,2021-05-30,2021-05-31,1,Stray,FIELD,Return To Owner,FLD_MCHIP,UNKNOWN,HEALTHY,COUNTY,1,2019-04-06T00:00:00.000,WAYNE,95462,31029,COUNTY,2021
Dog,Labrador Retr,Chocolate,Neutered,MED,K24-047297,DS89,A423710,2024-01-06,2024-01-09,3,Stray,OVER THE COUNTER,Return To Owner,OVER THE COUNTER_WEB,UNKNOWN,PENDING,SANTA ROSA,1,2020-01-06T00:00:00.000,CANELO,95492,31428,*WINDSOR,2024
Dog,Shetld Sheepdog/Mix,Gray/White,Neutered,MED,K23-044034,DA04,A416031,2023-03-07,2023-03-23,16,Stray,OVER THE COUNTER,Adoption,SCAS WEB,HEALTHY,HEALTHY,SANTA ROSA,1,2021-09-16T00:00:00.000,ASTRO,95409,26080,SANTA ROSA,2023
Cat,Domestic Sh,Black/Black,Male,KITTN,K24-048104,TRUCK,A425689,2024-04-06,2024-04-06,0,Stray,FLD_STRAY,Transfer,PETLUMA PP,UNKNOWN,HEALTHY,SANTA ROSA,1,2024-04-04T00:00:00.000,,94952,11138,*PETALUMA,2024
Dog,Pit Bull,White/Black,Neutered,MED,K24-047477,DA44,A424146,2024-01-31,2024-04-06,66,Stray,FIELD,Adoption,OTH_MEDIA,HEALTHY,HEALTHY,COUNTY,1,2022-01-31T00:00:00.000,*GUMBO,95492,31428,*WINDSOR,2024
Cat,Domestic Sh,Brn Tabby,Spayed,KITTN,K23-046971,LOBBY,A422660,2023-12-02,2024-01-09,38,Stray,OVER THE COUNTER,Adoption,WALKIN,UNKNOWN,HEALTHY,SANTA ROSA,1,2023-10-05T00:00:00.000,*THELMA,95492,31428,*WINDSOR,2023
Dog,Germ Shepherd/Mix,Tan,Male,MED,K24-049105,TRUCK,A427728,2024-07-12,2024-07-12,0,Stray,FLD_STRAY,Return To Owner,,UNKNOWN,,SANTA ROSA,1,,BUSTER,95405,26078,SANTA ROSA,2024
Dog,Pit Bull/Bullmastiff,Black/Blue Merle,Male,SMALL,K24-047306,DS68,A423722,2024-01-09,2024-01-09,0,Stray,OVER THE COUNTER,Return To Owner,OVER THE COUNTER_CALL,UNKNOWN,PENDING,SANTA ROSA,1,2023-08-09T00:00:00.000,RYDER,95405,26078,SANTA ROSA,2024
Dog,Fox Terr Smooth/Mix,White/Black,Spayed,SMALL,K24-047639,DA02,A424619,2024-02-18,2024-04-06,48,Stray,FLD_STRAY,Adoption,WALKIN,UNKNOWN,PENDING,COUNTY,1,2021-04-04T00:00:00.000,*BANANA,95472,31039,COUNTY,2024
Cat,Domestic Lh,Calico,Spayed,SMALL,K16-019120,CS05,A337894,2016-06-02,2016-07-23,51,Stray,OVER THE COUNTER,Adoption,WALKIN,TREATABLE/REHAB,HEALTHY,SANTA ROSA,1,2014-06-02T00:00:00.000,FLASHY,95407,26079,SANTA ROSA,2016
Cat,Domestic Sh,Gray/White,Neutered,KITTN,K24-048580,LOBBY,A426615,2024-05-22,2024-07-12,51,Stray,OVER THE COUNTER,Adoption,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,1,2024-05-07T00:00:00.000,*VAZQUEZ,95409,26080,SANTA ROSA,2024
Cat,Domestic Sh,Brn Tabby,Female,SMALL,K24-048927,CS05,A427369,2024-06-26,2024-07-12,16,Stray,OVER THE COUNTER,Return To Owner,OVER THE COUNTER_CALL,UNKNOWN,PENDING,SANTA ROSA,1,2015-11-01T00:00:00.000,BRIDGETTE,94598,1186,OUT OF COUNTY,2024
Dog,Belg Malinois,Black,Male,MED,K25-051225,TRUCK,A431538,2025-02-22,2025-02-22,0,Stray,FLD_STRAY,Return To Owner,FLD_MCHIP,UNKNOWN,HEALTHY,SANTA ROSA,1,2022-01-24T00:00:00.000,NICO,95401,26075,SANTA ROSA,2025
Dog,Germ Shepherd/Mix,Black/White,Male,LARGE,K23-043684,DS91,A415147,2023-01-25,2023-02-04,10,Confiscate,FIELD,Return To Owner,OVER THE COUNTER_ARREST,UNKNOWN,PENDING,COUNTY,1,2020-07-12T00:00:00.000,BARKLEY,95403,26076,COUNTY,2023
Cat,Domestic Sh,Brn Tabby,Neutered,SMALL,K24-048675,CA02,A426838,2024-05-30,2024-07-12,43,Stray,FIELD,Adoption,WALKIN,HEALTHY,HEALTHY,COUNTY,1,2022-05-30T00:00:00.000,*PHILO,95409,26080,SANTA ROSA,2024
Dog,Germ Shepherd/Mix,Brown/White,Female,MED,K24-049096,DS54,A427691,2024-07-11,2024-07-12,1,Stray,FIELD,Return To Owner,FLD_MCHIP,UNKNOWN,PENDING,COUNTY,1,2020-05-01T00:00:00.000,MILLY,95472,31039,COUNTY,2024
Cat,Domestic Sh,Black,Neutered,SMALL,K24-049099,SMM,A427704,2024-07-12,2024-07-12,0,Stray,FLD_STRAY,Euthanize,ILL SEVERE,UNTREATABLE,UNTREATABLE,SANTA ROSA,1,2012-07-12T00:00:00.000,,,,,2024
Cat,Domestic Sh,Black,Neutered,KITTN,K16-019710,LOBBY,A339430,2016-07-09,2016-07-23,14,Owner Surrender,OVER THE COUNTER,Adoption,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,1,2016-03-09T00:00:00.000,SIMBA,95407,26079,SANTA ROSA,2016
Dog,Staffordshire,White/Brown,Spayed,SMALL,K24-047308,DS60,A422452,2024-01-09,2024-01-10,1,Stray,OVER THE COUNTER,Return To Owner,OVER THE COUNTER_CALL,UNKNOWN,PENDING,SANTA ROSA,1,2015-11-30T00:00:00.000,LEXI,95404,26077,COUNTY,2024
Dog,Siberian Husky,Black/White,Neutered,LARGE,K23-044262,DA42,A416471,2023-04-01,2024-01-10,284,Stray,OVER THE COUNTER,Adoption,SCAS WEB,HEALTHY,HEALTHY,COUNTY,1,2020-04-01T00:00:00.000,*IKE,95461,31028,OUT OF COUNTY,2023
Dog,Maltese,White,Neutered,TOY,K23-045622,DS83,A378799,2023-08-04,2023-08-04,0,Stray,FLD_STRAY,Return To Owner,OVER THE COUNTER_NOTICE,HEALTHY,HEALTHY,SANTA ROSA,1,2010-08-19T00:00:00.000,MICKEY,95409,26080,SANTA ROSA,2023
Cat,Domestic Sh,Brn Tabby/White,Spayed,KITTN,K23-046442,LOBBY,A421170,2023-10-12,2024-01-09,89,Stray,OVER THE COUNTER,Adoption,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,1,2023-10-02T00:00:00.000,*PRINCESS,95492,31428,*WINDSOR,2023
Cat,Domestic Sh,Flame Pt,Spayed,SMALL,K23-046793,CA02,A422102,2023-11-13,2024-01-10,58,Stray,FLD_STRAY,Adoption,WALKIN,UNKNOWN,HEALTHY,COUNTY,1,2023-04-13T00:00:00.000,*CLEO,95492,31428,COUNTY,2023
Other,Chicken,Black,Unknown,SMALL,K24-049479,SAL,A428476,2024-08-16,2024-09-23,38,Stray,FLD_STRAY,Transfer,WESTFARM,UNKNOWN,HEALTHY,SANTA ROSA,1,,,95401,26075,SANTA ROSA,2024
Dog,Catahoula/Mix,Brn Merle/Black,Spayed,LARGE,K24-047276,DS73,A360813,2024-01-04,2024-01-10,6,Stray,OVER THE COUNTER,Return To Owner,OVER THE COUNTER_NOTICE,UNKNOWN,PENDING,COUNTY,1,2009-09-13T00:00:00.000,CAT,94951,1844,COUNTY,2024
Other,Bat,Brown,Unknown,SMALL,K24-047313,TRUCK,A423732,2024-01-10,2024-01-10,0,Quarantine,FIELD,Euthanize,FRA,UNKNOWN,HEALTHY,COUNTY,1,,,,,,2024
Dog,Pomeranian,Black,Neutered,TOY,K23-047060,DA05,A422994,2023-12-09,2024-01-03,25,Stray,FLD_STRAY,Adoption,WALKIN,UNKNOWN,HEALTHY,SANTA ROSA,1,2018-07-10T00:00:00.000,COBY,95401,26075,SANTA ROSA,2023
Dog,Parson Russ Ter/Chihuahua Sh,Cream/White,Neutered,PUPPY,K23-047079,FOSTER,A423029,2023-12-13,2024-01-09,27,Owner Surrender,OVER THE COUNTER,Adoption,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,1,2023-09-20T00:00:00.000,*NICK,95492,31428,*WINDSOR,2023
Dog,Labrador Retr/Mix,White,Male,LARGE,K24-049767,DS93,A429021,2024-09-14,2024-11-01,48,Stray,OVER THE COUNTER,Transfer,GG LAB RES,UNKNOWN,PENDING,SANTA ROSA,1,2020-10-16T00:00:00.000,*ATTICUS,94804,1506,OUT OF COUNTY,2024
Cat,Domestic Sh,Black/White,Neutered,SMALL,K24-049371,CA02,A428262,2024-08-08,2024-11-01,85,Stray,OVER THE COUNTER,Adoption,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,1,2022-08-08T00:00:00.000,*KHAN,95448,31016,COUNTY,2024
Dog,Great Pyrenees,White,Male,LARGE,K24-050119,DS65,A429433,2024-10-19,2024-11-01,13,Stray,FIELD,Return To Owner,OVER THE COUNTER_NOTICE,UNKNOWN,PENDING,COUNTY,0,2021-10-19T00:00:00.000,COCO,95472,31039,COUNTY,2024
Other,Pigeon,White/Brown,Unknown,SMALL,K23-046433,LOBBY,A421128,2023-10-11,2024-01-10,91,Confiscate,FLD_ABAND,Adoption,WALKIN,UNKNOWN,HEALTHY,COUNTY,0,,*COLUMBA,95472,31039,COUNTY,2023
Dog,Parson Russ Ter/Chihuahua Sh,Cream,Spayed,PUPPY,K24-047307,DA37,A423033,2024-01-09,2024-01-09,0,Adoption Return,OVER THE COUNTER,Adoption,WALKIN,UNKNOWN,PENDING,SANTA ROSA,1,2023-09-20T00:00:00.000,*BUFFY,95492,31428,*WINDSOR,2024
Cat,Domestic Mh,Black/White,Neutered,SMALL,K24-047796,CS05,A425116,2024-03-11,2024-04-08,28,Stray,FIELD,Euthanize,CON SEVERE,UNKNOWN,UNTREATABLE,SANTA ROSA,1,2022-04-02T00:00:00.000,*BRUCE,,,,2024
Dog,Siberian Husky/Mix,Black/Tan,Spayed,MED,K24-047311,DS52,A382673,2024-01-09,2024-01-10,1,Stray,OVER THE COUNTER,Return To Owner,OVER THE COUNTER_MCHIP,UNKNOWN,PENDING,SANTA ROSA,1,2018-06-27T00:00:00.000,JOON,95401,26075,SANTA ROSA,2024
Dog,French Bulldog,Black/Tan,Female,SMALL,K24-047304,,A423720,2024-01-09,,0,Stray,FIELD,Desconhecido,,UNKNOWN,,SANTA ROSA,1,2022-07-09T00:00:00.000,,,,,2024
Dog,Beagle/Eng Cocker Span,Black/White,Female,MED,K24-047954,DA19,A425413,2024-03-21,2024-04-08,18,Stray,OVER THE COUNTER,Euthanize,AGGRESSIVE,HEALTHY,UNTREATABLE,SANTA ROSA,1,2018-03-21T00:00:00.000,BEVERLY,95404,26077,SANTA ROSA,2024
Dog,Pit Bull/Mix,Bl Brindle,Female,MED,K24-047831,DS95,A425187,2024-03-13,2024-04-08,26,Stray,OVER THE COUNTER,Euthanize,AGGRESSIVE,UNKNOWN,UNTREATABLE,SANTA ROSA,1,2023-03-13T00:00:00.000,,,,,2024
Dog,Labrador Retr/Mix,Tan/White,Female,MED,K24-048010,DS73,A425508,2024-03-26,2024-04-08,13,Stray,OVER THE COUNTER,Euthanize,ILL SEVERE,UNKNOWN,UNTREATABLE,COUNTY,1,2023-06-26T00:00:00.000,,,,,2024
Dog,Germ Shepherd,Tricolor,Spayed,LARGE,K24-047835,DS74,A425192,2024-03-13,2024-04-08,26,Stray,OVER THE COUNTER,Euthanize,CON SEVERE,UNKNOWN,TREATABLE/MANAGEABLE,SANTA ROSA,1,2023-03-13T00:00:00.000,OLIVIA,,,,2024
Cat,Domestic Sh,Black,Unknown,SMALL,K22-041209,COOLER,A411263,2022-04-27,2022-04-27,0,Stray,FIELD,Disposal,DOA,UNKNOWN,DEAD,SANTA ROSA,1,,,,,,2022
Other,Chicken,Brown,Female,SMALL,K24-049397,LS02,A428305,2024-08-09,2024-09-23,45,Confiscate,FLD_ABAND,Transfer,WESTFARM,UNKNOWN,HEALTHY,COUNTY,1,,,95401,26075,SANTA ROSA,2024
Other,Chicken,White/Black,Male,MED,K24-049640,LS03,A428808,2024-09-04,2024-09-23,19,Stray,FLD_STRAY,Transfer,WESTFARM,UNKNOWN,HEALTHY,SANTA ROSA,1,,,95401,26075,SANTA ROSA,2024
Cat,Domestic Sh,Brn Tabby/White,Neutered,KITTN,K24-048465,CA02,A426372,2024-05-11,2024-07-13,63,Stray,OVER THE COUNTER,Adoption,WALKIN,HEALTHY,HEALTHY,COUNTY,1,2024-04-14T00:00:00.000,*JAMIE,95448,31016,COUNTY,2024
Other,Chicken,Red/Black,Male,LARGE,K24-049635,LS03,A428803,2024-09-04,2024-09-23,19,Stray,FLD_STRAY,Transfer,WESTFARM,UNKNOWN,HEALTHY,SANTA ROSA,1,,,95401,26075,SANTA ROSA,2024
Other,Chicken,Black,Female,SMALL,K24-049399,LS02,A428307,2024-08-09,2024-09-23,45,Confiscate,FLD_ABAND,Transfer,WESTFARM,UNKNOWN,HEALTHY,COUNTY,1,,,95401,26075,SANTA ROSA,2024
Other,Chicken,Red/Black,Unknown,SMALL,K24-049480,SAL,A428477,2024-08-16,2024-09-23,38,Stray,FLD_STRAY,Transfer,WESTFARM,UNKNOWN,HEALTHY,SANTA ROSA,1,,,95401,26075,SANTA ROSA,2024
Dog,Dachshund/Mix,Br Brindle,Male,SMALL,K24-049621,DS74,A428783,2024-09-03,2024-09-23,20,Stray,FLD_STRAY,Transfer,PETSLIFELN,UNKNOWN,TREATABLE/REHAB,SANTA ROSA,1,2022-09-04T00:00:00.000,,95476,31040,COUNTY,2024
Other,Chicken,White,Female,SMALL,K24-049411,LS02,A428320,2024-08-09,2024-09-23,45,Confiscate,FLD_ABAND,Transfer,WESTFARM,UNKNOWN,HEALTHY,COUNTY,1,,,95401,26075,SANTA ROSA,2024
Other,Angora-English/Mix,White,Neutered,SMALL,K23-046828,CA01,A422237,2023-11-17,2024-04-09,144,Stray,OVER THE COUNTER,Adoption,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,1,2022-03-25T00:00:00.000,*TURTLE,95407,26079,SANTA ROSA,2023
Dog,Cocker Span,White/Gold,Neutered,SMALL,K20-037530,TRUCK,A372094,2020-12-15,2020-12-15,0,Stray,FIELD,Return To Owner,FLD_MCHIP,UNKNOWN,HEALTHY,SANTA ROSA,1,2017-06-02T00:00:00.000,ODIE,95405,26078,SANTA ROSA,2020
Dog,Shiba Inu/Basenji,Tan/White,Male,MED,K24-048106,DS52,A425692,2024-04-06,2024-04-09,3,Stray,FLD_STRAY,Return To Owner,OVER THE COUNTER_CALL,UNKNOWN,PENDING,SANTA ROSA,1,2021-07-12T00:00:00.000,FRIDO,,,OUT OF COUNTY,2024
Dog,Cocker Span,White/Gold,Neutered,SMALL,K22-041592,RECEIVING,A372094,2022-06-10,2022-06-10,0,Stray,OVER THE COUNTER,Return To Owner,OVER THE COUNTER_MCHIP,UNKNOWN,PENDING,SANTA ROSA,1,2017-06-02T00:00:00.000,ODIE,95405,26078,SANTA ROSA,2022
Dog,Germ Shepherd,Black/Brown,Neutered,PUPPY,K24-050757,DA44,A430917,2024-12-30,2025-01-15,16,Owner Surrender,FIELD,Adoption,SCAS WEB,UNKNOWN,HEALTHY,SANTA ROSA,1,2024-10-08T00:00:00.000,*ABNER,95492,31428,*WINDSOR,2024
Cat,Domestic Sh,Brown,Male,SMALL,K24-048099,CS06,A425680,2024-04-05,2024-04-06,1,Confiscate,FLD_ARREST,Return To Owner,OVER THE COUNTER_ARREST,UNKNOWN,PENDING,SANTA ROSA,1,,MANEY,94102,28852,OUT OF COUNTY,2024
Dog,Pit Bull,Tan/White,Male,LARGE,K24-048613,TRUCK,A426679,2024-05-24,2024-05-24,0,Stray,FLD_STRAY,Return To Owner,OVER THE COUNTER_CALL,UNKNOWN,HEALTHY,SANTA ROSA,1,,,95409,26080,SANTA ROSA,2024
Dog,Pit Bull,Brown/White,Female,MED,K24-048101,DS83,A425684,2024-04-05,2024-04-09,4,Stray,OVER THE COUNTER,Return To Owner,OVER THE COUNTER_WALKIN,UNKNOWN,PENDING,SANTA ROSA,1,2022-04-05T00:00:00.000,PYSCHO,95403,26076,COUNTY,2024
Other,Chicken,Red/Black,Male,LARGE,K24-049636,LS03,A428804,2024-09-04,2024-09-23,19,Stray,FLD_STRAY,Transfer,WESTFARM,UNKNOWN,HEALTHY,SANTA ROSA,1,,,95401,26075,SANTA ROSA,2024
Other,Chicken,Gray,Female,SMALL,K24-049405,LS02,A428312,2024-08-09,2024-09-23,45,Confiscate,FLD_ABAND,Transfer,WESTFARM,UNKNOWN,HEALTHY,COUNTY,1,,,95401,26075,SANTA ROSA,2024
Dog,Catahoula/Pit Bull,Br Brindle/White,Neutered,PUPPY,K24-048124,DA13,A425739,2024-04-09,2024-07-13,95,Stray,FIELD,Adoption,WALKIN,UNKNOWN,HEALTHY,COUNTY,1,2023-10-24T00:00:00.000,*KING,95407,26079,SANTA ROSA,2024
Other,Chicken,Black,Female,SMALL,K24-049400,LS02,A428308,2024-08-09,2024-09-23,45,Confiscate,FLD_ABAND,Transfer,WESTFARM,UNKNOWN,HEALTHY,COUNTY,1,,,95401,26075,SANTA ROSA,2024
Dog,Pointer,White/Black,Female,LARGE,K24-050163,DQ118,A429779,2024-10-24,2024-11-01,8,Owner Surrender,OVER THE COUNTER,Euthanize,AGGRESSIVE,UNKNOWN,HEALTHY,SANTA ROSA,1,2022-08-24T00:00:00.000,DAISY,,,,2024
Dog,Aust Shepherd/Mix,Black/Tan,Neutered,MED,K17-023391,DA14,A342609,2017-05-06,2017-06-15,40,Owner Surrender,OVER THE COUNTER,Adoption,SCAS WEB,HEALTHY,HEALTHY,*WINDSOR,1,2015-03-23T00:00:00.000,COOPER,95405,26078,SANTA ROSA,2017
Dog,Chihuahua Sh,Tan/White,Neutered,TOY,K23-047099,DA30,A276404,2023-12-12,2023-12-22,10,Confiscate,FLD_HOSPTL,Return To Owner,OVER THE COUNTER_PRVS,UNKNOWN,PENDING,SANTA ROSA,1,2011-01-01T00:00:00.000,CHULUPA,94931,1832,*COTATI,2023
Cat,Domestic Mh,Black/White,Female,SMALL,K23-046892,SMM,A422327,2023-11-21,2024-04-09,140,Confiscate,FLD_CRUEL,Return To Owner,OVER THE COUNTER_PRVS,UNKNOWN,PENDING,COUNTY,1,2022-11-21T00:00:00.000,MITE,95476,31040,COUNTY,2023
Dog,Border Collie,Black/White,Male,MED,K23-046886,DA26,A422321,2023-11-21,2024-04-09,140,Confiscate,FLD_CRUEL,Return To Owner,OVER THE COUNTER_PRVS,UNKNOWN,PENDING,COUNTY,1,2015-12-07T00:00:00.000,DUFF,95476,31040,COUNTY,2023
Dog,Pit Bull,Black,Male,MED,K24-048114,DS95,A425716,2024-04-08,2024-04-09,1,Stray,FLD_STRAY,Return To Owner,OVER THE COUNTER_CALL,UNKNOWN,PENDING,COUNTY,1,2023-01-09T00:00:00.000,HUNTER,95476,31040,COUNTY,2024
Dog,Border Collie,Tricolor,Male,MED,K23-046872,DA25,A422306,2023-11-21,2024-04-09,140,Confiscate,FLD_CRUEL,Return To Owner,OVER THE COUNTER_PRVS,UNKNOWN,PENDING,COUNTY,1,2013-12-07T00:00:00.000,COY,95476,31040,COUNTY,2023
Dog,Border Collie,Black/White,Male,MED,K24-048052,COOLER,A401655,2024-04-02,2024-04-08,6,Quarantine,FIELD,Transfer,,UNKNOWN,DEAD,*ROHNERT PARK,1,,BOSCO,94928,1829,*ROHNERT PARK,2024
Dog,Germ Shepherd/Mix,Brown,Neutered,LARGE,K24-048108,DS92,A425701,2024-04-06,2024-04-09,3,Stray,OVER THE COUNTER,Return To Owner,OVER THE COUNTER_WEB,UNKNOWN,PENDING,COUNTY,1,2022-02-09T00:00:00.000,COOKIES,95448,31016,*HEALDSBURG,2024
