type,breed,color,sex,size,impound_number,kennel_number,id,intake_date,outcome_date,days_in_shelter,intake_type,intake_subtype,outcome_type,outcome_subtype,intake_condition,outcome_condition,intake_jurisdiction,intake_total,date_of_birth,name,zip_code,:@computed_region_dig5_f3vy,outcome_jurisdiction,ano
Dog,Border Collie/Mix,Black/White,Spayed,SMALL,K21-037740,DA38,A402175,2021-01-20,2021-04-07,77,Stray,FIELD,Adoption,SCAS WEB,HEALTHY,HEALTHY,COUNTY,1,2020-01-20T00:00:00.000,*TRIS,94928,1829,*ROHNERT PARK,2021
Dog,Labrador Retr/Doberman Pinsch,Black,Spayed,MED,K17-022366,DA48,A347800,2017-01-27,2017-03-15,47,Stray,FIELD,Adoption,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,1,2015-03-07T00:00:00.000,LUNA,94928,1829,*ROHNERT PARK,2017
Dog,Bluetick Hound/Mix,Blue Tick/Black,Neutered,MED,K15-014365,DS58,A322754,2015-06-07,2015-07-18,41,Stray,FIELD,Euthanize,CON SEVERE,UNTREATABLE,UNTREATABLE,COUNTY,1,2007-06-07T00:00:00.000,BUDDY,95462,31029,COUNTY,2015
Dog,Boston Terrier/Mix,Black/White,Male,SMALL,K19-031314,DS55,A384077,2019-01-29,2019-01-31,2,Stray,FIELD,Return To Owner,OVER THE COUNTER_MCHIP,HEALTHY,HEALTHY,SANTA ROSA,1,2017-10-01T00:00:00.000,JEDI,95404,26077,SANTA ROSA,2019
Cat,Domestic Sh,Brn Tabby,Male,KITTN,K18-029045,CI02,A374584,2018-07-10,2018-07-13,3,Stray,FIELD,Transfer,HSSC,TREATABLE/REHAB,TREATABLE/REHAB,COUNTY,1,2018-06-10T00:00:00.000,,95407,26079,COUNTY,2018
Dog,Labrador Retr,White,Spayed,MED,K18-027402,DS87,A343094,2018-02-27,2018-02-28,1,Stray,FIELD,Return To Owner,OVER THE COUNTER_PRVS,UNKNOWN,PENDING,SANTA ROSA,1,2004-10-01T00:00:00.000,AUDI,95401,26075,SANTA ROSA,2018
Dog,Boston Terrier,Brown/White,Male,MED,K18-030567,DS53,A363220,2018-11-08,2018-11-09,1,Stray,OVER THE COUNTER,Return To Owner,OVER THE COUNTER_CALL,UNKNOWN,PENDING,COUNTY,1,2011-01-01T00:00:00.000,JAGER,95401,26075,SANTA ROSA,2018
Dog,Chihuahua Sh/Mix,Brown,Male,SMALL,K19-033832,DS87,A398422,2019-09-24,2019-09-24,0,Stray,PRIV_SHELT,Return To Owner,OVER THE COUNTER_WEB,HEALTHY,HEALTHY,SANTA ROSA,1,2017-07-07T00:00:00.000,RICHY,95492,31428,*WINDSOR,2019
Dog,Pit Bull,Gray/White,Spayed,LARGE,K16-019573,DA07,A339250,2016-07-05,2016-09-02,59,Stray,VET_HOSP,Adoption,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,1,2014-07-24T00:00:00.000,PHOEBE,95404,26077,SANTA ROSA,2016
Dog,Labrador Retr/Mix,Black/White,Spayed,MED,K16-021886,DA20,A346239,2016-12-14,2017-01-11,28,Stray,FIELD,Adoption,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,1,2016-02-29T00:00:00.000,*DELILAH,94928,1829,*ROHNERT PARK,2016
